,movie_title,sentiment,tomatometer_rating
0,The Lost City,negative,3
1,Running Scared,negative,5
2,Ultraviolet,negative,1
3,Arthur and the Invisibles ,negative,3
4,Eternal,negative,3
5,The Mostly Unfabulous Social Life of Ethan Green,negative,4
6,Dirty,negative,3
7,Stay Alive,negative,2
8,Independent Lens,negative,9
9,All the King's Men,negative,10
10,Cocaine Cowboys,negative,7
11,Slipstream,negative,3
12,The Ten,negative,4
13,The Happening,negative,2
14,Fireflies in the Garden,negative,3
15,The Eye,negative,3
16,Wild Child,negative,5
17,Rails & Ties,negative,4
18,Canvas,negative,8
19,Saawariya,negative,4
20,The Informers,negative,2
21,Guta-yubalja-deul ,negative,5
22,The Rocker,negative,5
23,Man in the Chair,negative,6
24,Body of Lies,negative,6
25,Shutter,negative,1
26,The Escapist,negative,7
27,Red,negative,8
28,Julia,negative,8
29,Angel Heart,negative,8
30,Old Dogs,negative,1
31,Surrogates,negative,4
32,Soul Men,negative,5
33,Igor,negative,4
34,The Stone Angel,negative,5
35,Alvin and the Chipmunks: The Squeakquel,negative,3
36,Push,negative,3
37,Felon,negative,7
38,Scar,negative,1
39,The Proposal,negative,5
40,Orphan,negative,6
41,Okuribito ,negative,9
42,Season of the Witch,negative,2
43,Grace,negative,8
44,The Red Baron ,negative,3
45,Mammoth ,negative,5
46,Crude,negative,10
47,Bakjwi ,negative,9
48,Blood: The Last Vampire,negative,3
49,Shrink,negative,3
50,Ong Bak 2,negative,5
51,Collapse,negative,9
52,Lottery Ticket,negative,4
53,Predators,negative,7
54,The Bad News Bears,negative,10
55,Black Christmas,negative,8
56,The Black Hole,negative,4
57,Der Blaue Engel ,negative,10
58,Bye Bye Birdie,negative,9
59,Carrie,negative,10
60,Cat People,negative,7
61,Commando,negative,8
62,Day of the Dead,negative,9
63,Dracula,negative,10
64,Fatal Attraction,negative,8
65,Flash Gordon,negative,9
66,Frantic,negative,8
67,The Fury,negative,8
68,Gallipoli,negative,10
69,Halloween,negative,10
70,The Haunting,negative,9
71,House of Wax,negative,10
72,In Cold Blood,negative,9
73,It's Alive,negative,8
74,The Jazz Singer,negative,2
75,Little Shop of Horrors,negative,10
76,Meteor,negative,1
77,The Mission,negative,7
78,Near Dark,negative,9
79,Night of the Living Dead,negative,10
80,Obsession,negative,8
81,Pennies From Heaven,negative,9
82,Pit and the Pendulum ,negative,9
83,Popeye,negative,7
84,Promised Land,negative,6
85,Red Sonja,negative,2
86,Road House,negative,4
87,RoboCop,negative,10
88,Sorcerer,negative,8
89,The Sunshine Boys,negative,8
90,Three Amigos!,negative,5
91,The Time Machine,negative,8
92,Tommy,negative,8
93,Twins,negative,5
94,Village of the Damned,negative,10
95,The Warriors,negative,10
96,Mystery Train,negative,9
97,Revolution,negative,2
98,Navy Seals,negative,2
99,102 Dalmatians,negative,4
100,Gun Crazy ,negative,10
101,Come and See ,negative,10
102,Poison,negative,8
103,Cape Fear,negative,8
104,The Cutting Edge,negative,6
105,Deep Cover,negative,9
106,Cool World,negative,1
107,Husbands and Wives,negative,10
108,Unforgiven,negative,10
109,Cliffhanger,negative,7
110,The Firm,negative,8
111,Airborne,negative,3
112,Gettysburg,negative,8
113,Fearless,negative,9
114,The Three Musketeers,negative,3
115,Junior,negative,4
116,Street Fighter,negative,2
117,The Wild Bunch,negative,10
118,Bad Boys,negative,5
119,Pocahontas,negative,6
120,Braveheart,negative,8
121,To Die For,negative,9
122,It Takes Two,negative,1
123,Heavy Metal,negative,7
124,Broken Arrow,negative,6
125,Black Sheep,negative,3
126,The Quest,negative,2
127,The Last Supper,negative,7
128,Independence Day,negative,7
129,The Island of Dr. Moreau,negative,3
130,Kingpin,negative,6
131,Jack,negative,2
132,Freeway,negative,8
133,House Arrest,negative,2
134,Selena,negative,7
135,101 Dalmatians,negative,5
136,The Crucible,negative,7
137,Breakdown,negative,9
138,George of the Jungle,negative,6
139,The Game,negative,8
140,Firestorm,negative,2
141,The Man in the Iron Mask,negative,4
142,Twilight,negative,7
143,Hush,negative,2
144,A Perfect Murder,negative,6
145,Mafia!,negative,2
146,Funny Games,negative,7
147,Soldier,negative,2
148,Tango,negative,7
149,The Thin Red Line,negative,9
150,Life Is Beautiful ,negative,9
151,Mighty Joe Young,negative,6
152,Supernova,negative,2
153,Lost and Found,negative,2
154,The King and I,negative,2
155,Payback,negative,6
156,I'll Be Home for Christmas,negative,3
157,Jack Frost,negative,2
158,The Haunting,negative,2
159,Anna and the King,negative,6
160,Diamonds,negative,3
161,Superstar,negative,4
162,House on Haunted Hill,negative,4
163,The Bachelor,negative,1
164,A Dog of Flanders,negative,3
165,The Celebration ,negative,10
166,Whatever It Takes,negative,2
167,Where the Heart Is,negative,4
168,Committed,negative,5
169,Screwed,negative,2
170,Hamlet,negative,6
171,Gone in 60 Seconds ,negative,3
172,George Washington,negative,9
173,The In Crowd,negative,1
174,The Art of War,negative,2
175,Bait,negative,3
176,Duets,negative,3
177,Beautiful,negative,2
178,Under Suspicion,negative,5
179,The Ladies Man,negative,2
180,Malena,negative,6
181,Double Take,negative,2
182,The Pledge,negative,8
183,Down to Earth,negative,3
184,Sweet November,negative,2
185,L.I.E.,negative,9
186,Driven,negative,2
187,Brother,negative,5
188,The Fast and the Furious,negative,6
189,Pearl Harbor,negative,3
190,The Others,negative,9
191,The Wash,negative,1
192,Collateral Damage,negative,2
193,Invincible,negative,6
194,Texas Rangers,negative,1
195,Behind Enemy Lines,negative,4
196,Scooby-Doo,negative,4
197,Crossroads,negative,2
198,The New Guy,negative,1
199,The Time Machine,negative,3
200,Human Nature,negative,5
201,Enough,negative,3
202,They,negative,4
203,All or Nothing,negative,9
204,Femme Fatale,negative,5
205,Empire,negative,3
206,Pinocchio,negative,1
207,Anger Management,negative,5
208,Le Divorce,negative,4
209,Grind,negative,1
210,The Missing,negative,6
211,The Company,negative,8
212,Envy,negative,1
213,The Punisher,negative,3
214,Hide and Seek,negative,2
215,Cursed,negative,2
216,Appurushîdo ,negative,3
217,Sahara,negative,4
218,Crash,negative,8
219,The Honeymooners,negative,2
220,Bomb the System,negative,4
221,Hellbent,negative,5
222,Kids in America,negative,2
223,Rent,negative,5
224,The New World,negative,7
225,Date Movie,negative,1
226,Why We Fight,negative,8
227,London,negative,2
228,Evil ,negative,7
229,See No Evil,negative,1
230,Sleeping Dogs Lie,negative,7
231,For Your Consideration,negative,6
232,Free Zone,negative,3
233,Superhero Movie,negative,2
234,Unconscious,negative,9
235,The Invisible,negative,3
236,Vitus,negative,7
237,License to Wed,negative,1
238,Fred Claus,negative,3
239,Hollywood Dreams,negative,4
240,The Final Season,negative,3
241,Amu,negative,9
242,The Hunting Party,negative,6
243,Alvin and the Chipmunks,negative,3
244,Blindness,negative,5
245,The Haunting in Connecticut,negative,2
246,The Lovely Bones,negative,4
247,College,negative,1
248,Mister Lonely,negative,5
249,Partition,negative,4
250,Smart People,negative,5
251,Deal,negative,1
252,Chapter 27,negative,2
253,Lou Reed's Berlin,negative,8
254,Lakeview Terrace,negative,5
255,Before the Rains,negative,5
256,Ballast,negative,10
257,The Perfect Game,negative,6
258,Ninja Assassin,negative,3
259,I Love You Beth Cooper,negative,2
260,Dorian Gray,negative,5
261,The Tooth Fairy,negative,2
262,The Children,negative,8
263,The Last House on the Left,negative,5
264,The Three Stooges,negative,6
265,The Taking of Pelham 1 2 3,negative,6
266,Obsessed,negative,2
267,Remember Me,negative,3
268,What Goes Up,negative,2
269,Home,negative,10
270,Furry Vengeance,negative,1
271,Beyond a Reasonable Doubt,negative,1
272,Homecoming,negative,1
273,No Impact Man: The Documentary,negative,9
274,Five Minutes of Heaven,negative,8
275,Amreeka,negative,9
276,I Sell the Dead,negative,8
277,Fifty Dead Men Walking,negative,9
278,Art & Copy,negative,6
279,Triangle ,negative,6
280,Franklyn,negative,6
281,Kick-Ass,negative,8
282,Che: Part One ,negative,7
283,The Losers,negative,5
284,13 Hours: The Secret Soldiers Of Benghazi,negative,6
285,13 Sins,negative,7
286,13 Tzameti,negative,9
287,1408,negative,9
288,1941,negative,5
289,211,negative,1
290,My Soul to Take,negative,2
291,28 Days,negative,4
292,28 Days Later,negative,9
293,2 Guns,negative,7
294,3000 Miles to Graceland,negative,2
295,30 Days of Night,negative,6
296,30 Minutes or Less,negative,5
297,360,negative,3
298,3 from Hell,negative,6
299,3 Generations,negative,4
300,3 Hearts ,negative,9
301,3 Women,negative,10
302,47 Meters Down,negative,6
303,47 Meters Down: Uncaged,negative,5
304,4 Little Girls,negative,10
305,51 Birch Street,negative,10
306,6 Underground,negative,4
307,88 Minutes,negative,1
308,8MM,negative,3
309,A Bad Moms Christmas,negative,4
310,A Coffee in Berlin,negative,8
311,A Dangerous Method,negative,8
312,A Dark Song,negative,10
313,A Dog's Journey,negative,6
314,A Dog's Purpose,negative,4
315,A Glimpse Inside the Mind of Charles Swan III,negative,2
316,A Good Day To Die Hard,negative,2
317,A Haunted House 2,negative,1
318,A Little Bit Of Heaven,negative,1
319,A Man Escaped ,negative,10
320,A Man Named Pearl,negative,8
321,A Night In Old Mexico,negative,5
322,A Nightmare on Elm Street 5: The Dream Child,negative,4
323,A Perfect Getaway,negative,7
324,A Private War,negative,9
325,A Separation,negative,10
326,A Single Shot,negative,5
327,A Smile Like Yours,negative,1
328,A Street Cat Named Bob,negative,8
329,A Tale of Two Sisters,negative,9
330,The A-Team,negative,5
331,A Vigilante,negative,10
332,ABCs of Death 2,negative,8
333,Abduction,negative,1
334,Aberdeen,negative,9
335,Abraham Lincoln: Vampire Hunter,negative,4
336,Accepted,negative,4
337,Accidental Love,negative,1
338,Act of Valor,negative,3
339,Adam Resurrected,negative,4
340,Adam's Apples,negative,8
341,Admission,negative,4
342,Aeon Flux,negative,1
343,Affliction,negative,9
344,After,negative,2
345,After Earth,negative,2
346,After Innocence,negative,10
347,After.Life,negative,3
348,After the Sunset,negative,2
349,Aftermath ,negative,9
350,Against the Ropes,negative,2
351,Aileen: Life and Death of a Serial Killer,negative,9
352,Airplane!,negative,10
353,Akira,negative,10
354,I Saw the Devil,negative,9
355,Alex & Emma,negative,2
356,Alex Cross,negative,2
357,Alexander,negative,2
358,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",negative,7
359,Alien,negative,10
360,Alien Trespass,negative,4
361,AVP - Alien Vs. Predator,negative,3
362,Alive Inside,negative,8
363,All About Steve,negative,1
364,All About the Benjamins,negative,4
365,All Is Well ,negative,10
366,All The King's Men,negative,2
367,All the Pretty Horses,negative,4
368,All the Right Moves,negative,7
369,Almost Christmas,negative,5
370,Alone with Her,negative,7
371,Alpha and Omega,negative,2
372,Alpha Dog,negative,6
373,Alvin and the Chipmunks: Chipwrecked,negative,2
374,Always Shine,negative,10
375,Amanda Knox,negative,9
376,Amelia,negative,3
377,America: Imagine the World Without Her,negative,1
378,American Buffalo,negative,8
379,American Dreamz,negative,4
380,Der Amerikanische Freund ,negative,10
381,American History X,negative,9
382,American Mary,negative,7
383,American Pastoral,negative,3
384,American Reunion,negative,5
385,An American Werewolf in London,negative,9
386,America's Heart and Soul,negative,6
387,Amityville: The Demon,negative,1
388,Amores Perros,negative,10
389,Amulet,negative,7
390,An American Carol,negative,2
391,An Inconvenient Sequel: Truth To Power,negative,8
392,Anacondas: The Hunt for the Blood Orchid,negative,3
393,Analyze That,negative,3
394,Anamorph,negative,3
395,Angel Has Fallen,negative,4
396,Angela's Ashes,negative,6
397,Angels Wear White,negative,10
398,Animals,negative,9
399,Annabelle Comes Home,negative,7
400,Annabelle: Creation,negative,8
401,Annie Hall,negative,10
402,Another 48 Hrs.,negative,3
403,Another Earth,negative,7
404,Antebellum,negative,3
405,Antitrust,negative,3
406,Any Given Sunday,negative,6
407,Apollo 18,negative,3
408,Après vous ,negative,6
409,Arbitrage,negative,9
410,The Architect,negative,2
411,Are You Here,negative,1
412,Armadillo,negative,10
413,Jackpot,negative,6
414,Army of Darkness,negative,8
415,Arsenal,negative,1
416,The Art Of The Steal,negative,9
417,Art School Confidential,negative,4
418,Arthur,negative,3
419,Arthur 2: On the Rocks,negative,2
420,As I Lay Dying,negative,4
421,Ashes of Time Redux,negative,8
422,Ask the Dust,negative,4
423,Ass Backwards,negative,3
424,At The Devil's Door,negative,5
425,Atlantic City,negative,10
426,Atlas Shrugged: Part II,negative,1
427,Audition ,negative,9
428,Australia,negative,6
429,Avengement,negative,9
430,Aliens vs. Predator: Requiem ,negative,2
431,A.X.L.,negative,3
432,Baby Geniuses,negative,1
433,Baby Mama,negative,7
434,Babylon A.D.,negative,1
435,Backcountry,negative,10
436,Bad Boys for Life,negative,8
437,Bad Boys II,negative,3
438,Bad Company,negative,2
439,Bad Education,negative,9
440,Bad Education,negative,10
441,Bad Lieutenant,negative,8
442,Bad Milo!,negative,7
443,Bad Moms,negative,6
444,Bad Reputation,negative,8
445,Bad Samaritan,negative,6
446,Bad Santa,negative,8
447,Bad Santa 2,negative,3
448,Bad Taste,negative,7
449,Bad Turn Worse,negative,9
450,Bait,negative,5
451,The Last Circus,negative,8
452,The Ballad of Jack and Rose,negative,5
453,Ballistic: Ecks vs. Sever,negative,1
454,Balls of Fury,negative,3
455,Balzac and the Little Chinese Seamstress,negative,8
456,The Banger Sisters,negative,5
457,Bangkok Dangerous,negative,1
458,Barb Wire,negative,3
459,Barney's Great Adventure,negative,4
460,Barnyard,negative,3
461,Barry,negative,9
462,Barry Lyndon,negative,10
463,Bartleby,negative,4
464,Barton Fink,negative,10
465,BASEketball,negative,5
466,Basic,negative,3
467,Basic Instinct,negative,6
468,Basic Instinct 2,negative,1
469,Baskin,negative,8
470,Batman Forever,negative,4
471,Batman: The Killing Joke,negative,5
472,Bats,negative,2
473,Battle For Terra,negative,5
474,Battle in Seattle,negative,6
475,Battle Royale,negative,9
476,Battlefield Earth,negative,1
477,Be Kind Rewind,negative,7
478,The Beach,negative,3
479,Beastly,negative,3
480,A Hard Day's Night,negative,10
481,Beautiful Creatures,negative,4
482,Beavis and Butt-head Do America,negative,8
483,Because I Said So,negative,1
484,Because of Winn-Dixie,negative,6
485,Becky,negative,8
486,Bedtime Stories,negative,3
487,Bee Movie,negative,6
488,Beetle Queen Conquers Tokyo,negative,10
489,Behind the Candelabra,negative,10
490,Behind the Mask: The Rise of Leslie Vernon,negative,8
491,Being 17 ,negative,10
492,Being Frank,negative,4
493,Beirut,negative,9
494,Bel Ami,negative,3
495,Belle,negative,9
496,Below,negative,7
497,Ben-Hur,negative,9
498,Benji: Off the Leash!,negative,4
499,Berberian Sound Studio,negative,9
500,Bethlehem,negative,8
501,Between Worlds,negative,4
502,Beverly Hills Cop III,negative,1
503,Beverly Hills Ninja,negative,2
504,Beyond Borders,negative,2
505,Beyond the Gates,negative,9
506,Beyond The Reach,negative,4
507,Bicentennial Man,negative,4
508,Big Bad Love,negative,5
509,Big Bad Wolves,negative,8
510,The Big Bounce,negative,2
511,Big Daddy,negative,4
512,Big Eden,negative,7
513,Big Star: Nothing Can Hurt Me,negative,10
514,The Big Tease,negative,6
515,Big Trouble in Little China,negative,8
516,"Bikram: Yogi, Guru, Predator",negative,10
517,Bio-Dome,negative,1
518,Bird Box,negative,7
519,Birth,negative,4
520,The Birth of a Nation,negative,10
521,Bitter Harvest,negative,2
522,Black '47,negative,8
523,Black Christmas,negative,2
524,Black Knight,negative,2
525,Black Nativity,negative,6
526,Black Sheep,negative,8
527,Black Snake Moan,negative,7
528,Black Sunday,negative,9
529,Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,negative,9
530,Blackhat,negative,4
531,The Blair Witch Project,negative,9
532,Blame It on Rio,negative,1
533,Blaze,negative,10
534,Blazing Saddles,negative,9
535,Bleak Street ,negative,6
536,Bleed For This,negative,8
537,Blitz,negative,5
538,Blood and Chocolate,negative,2
539,Blood on Her Name,negative,10
540,Blood Quantum,negative,10
541,Blood Simple,negative,10
542,BloodRayne,negative,1
543,Bloodshot,negative,4
544,"Bloody Nose, Empty Pockets",negative,10
545,Bloody Sunday,negative,10
546,Blow Out,negative,9
547,Blue Caprice,negative,9
548,Blue Ruin,negative,10
549,Blumhouse's Truth or Dare,negative,2
550,Boarding Gate,negative,4
551,Boat Trip,negative,1
552,Bobby Jones: Stroke of Genius,negative,3
553,Body of Evidence,negative,1
554,Bombshell,negative,7
555,Bombshell: The Hedy Lamarr Story,negative,10
556,Bones,negative,3
557,The Boondock Saints,negative,3
558,The Boondock Saints II: All Saints Day,negative,3
559,Boricua's Bond,negative,2
560,Bottle Shock,negative,5
561,Bounce,negative,6
562,Boy,negative,9
563,A Boy and His Dog,negative,8
564,The Boy in the Striped Pajamas ,negative,7
565,Boynton Beach Club,negative,7
566,Boys and Girls,negative,2
567,Boys Don't Cry,negative,9
568,Bra Boys,negative,6
569,Brawl in Cell Block 99,negative,10
570,Breakfast with Scot,negative,6
571,Breakin' All the Rules,negative,4
572,Breaking and Entering,negative,4
573,Breakthrough,negative,7
574,Brick Lane,negative,7
575,Bride of Chucky,negative,5
576,Bride of the Wind,negative,2
577,Bride Wars,negative,2
578,The Bridge on the River Kwai,negative,10
579,Bridget Jones: The Edge of Reason,negative,3
580,Brief Interviews with Hideous Men,negative,5
581,Bring It On,negative,7
582,Bringing Down the House,negative,4
583,Broken City,negative,3
584,Broken Flowers,negative,9
585,The Broken Hearts Club,negative,7
586,A Bronx Tale,negative,10
587,The Brood,negative,9
588,Brotherhood,negative,6
589,Brothers,negative,9
590,Bubble Boy,negative,4
591,Bucky Larson: Born to Be a Star,negative,1
592,Buffy the Vampire Slayer,negative,4
593,Bug,negative,7
594,Buried,negative,9
595,Burlesque,negative,4
596,Burma VJ: Reporter i et Lukket Land ,negative,10
597,The Burning Plain,negative,4
598,Bushwick,negative,5
599,The Butterfly Effect,negative,4
600,Byzantium,negative,7
601,The Cable Guy,negative,6
602,Caché,negative,9
603,Caddyshack,negative,8
604,Caddyshack II,negative,1
605,California Suite,negative,6
606,Call Me Kuchu,negative,10
607,Camp Rock,negative,5
608,Candyman,negative,8
609,Caniba,negative,6
610,Cannibal! The Musical ,negative,7
611,Can't Buy Me Love,negative,5
612,Capernaum ,negative,10
613,Capital in the Twenty-First Century,negative,10
614,Capitalism: A Love Story,negative,8
615,Capricorn One,negative,7
616,Captive,negative,3
617,Captivity,negative,1
618,Careful What You Wish For,negative,2
619,Cartel Land,negative,10
620,Casa de los Babys,negative,6
621,Cashback,negative,5
622,Casino Royale,negative,10
623,Casualties of War,negative,9
624,Catch and Release,negative,3
625,Catfight,negative,8
626,Cats & Dogs: The Revenge of Kitty Galore,negative,2
627,Cecil B. Demented,negative,6
628,Cell,negative,2
629,Chandni Chowk To China,negative,5
630,Changing Lanes,negative,8
631,Chaos Theory,negative,4
632,Chaplin,negative,6
633,Charlie Countryman,negative,3
634,Charlie Says,negative,6
635,Chasing Amy,negative,9
636,Chasing Madoff,negative,5
637,Chasing Papi,negative,2
638,Che: Part Two ,negative,8
639,Cheaper by the Dozen 2,negative,1
640,Cherish,negative,6
641,Chicken with Plums,negative,8
642,Child Of God,negative,5
643,Children of Men,negative,10
644,Child's Play,negative,7
645,Choking Man,negative,6
646,Chopper,negative,8
647,The Chorus ,negative,7
648,Christine,negative,7
649,Christine,negative,9
650,The Chronicles of Riddick,negative,3
651,Chuck & Buck,negative,9
652,The Chumscrubber,negative,4
653,Cidade dos Homens ,negative,8
654,A Cinderella Story,negative,2
655,Cinema Verite,negative,7
656,Cirque Du Soleil: Worlds Away,negative,5
657,City by the Sea,negative,5
658,Cidade de Deus ,negative,10
659,Civic Duty,negative,6
660,Clara's Ghost,negative,8
661,Wrath of the Titans,negative,3
662,Clear History,negative,7
663,Cleopatra's Second Husband,negative,6
664,Clifford,negative,2
665,Clifford's Really Big Movie,negative,6
666,Clockers,negative,8
667,A Clockwork Orange,negative,9
668,Cloud Atlas,negative,7
669,Club Dread,negative,3
670,Clue,negative,7
671,Cobb,negative,7
672,Cocktail,negative,1
673,Code Black,negative,9
674,Code Name: The Cleaner,negative,1
675,Coffee & Kareem,negative,3
676,Cold Comes The Night,negative,5
677,Cold Creek Manor,negative,2
678,Cold Mountain,negative,8
679,Cold Weather,negative,8
680,Collateral Beauty,negative,2
681,Colombiana,negative,3
682,Color of Night,negative,3
683,Come to Daddy,negative,9
684,The Comebacks,negative,1
685,Comedian,negative,8
686,Company Man,negative,2
687,Conan the Barbarian,negative,3
688,Concerning Violence,negative,10
689,The Condemned,negative,2
690,Coneheads,negative,4
691,Congo,negative,3
692,Conquest Of The Planet Of The Apes,negative,6
693,Contagion,negative,9
694,The Cookout,negative,1
695,Cop Out,negative,2
696,"Copying Beethoven, ",negative,3
697,The Core,negative,5
698,Corky Romano,negative,1
699,Cosmopolis,negative,7
700,Countdown,negative,3
701,The Country Bears,negative,4
702,Courageous,negative,4
703,The Covenant,negative,1
704,Coyote Ugly,negative,3
705,Cradle 2 the Grave,negative,3
706,Crawl,negative,9
707,The Crazies,negative,7
708,Crazy Love,negative,8
709,Creepy ,negative,10
710,Crocodile Dundee II,negative,2
711,Crossover,negative,1
712,The Crow,negative,9
713,The Crow - Salvation,negative,3
714,The Crow: City of Angels,negative,2
715,Cruel Intentions,negative,6
716,Cry_Wolf,negative,3
717,The Crying Game,negative,10
718,CSNY Déjà Vu,negative,7
719,Curse of Chucky,negative,8
720,Curse of the Golden Flower,negative,7
721,Cutter's Way,negative,10
722,D-Tox ,negative,2
723,The D Train,negative,6
724,Daddy Day Camp,negative,1
725,Daddy Day Care,negative,3
726,Daddy's Home,negative,4
727,Daddy's Little Girls,negative,3
728,Dai-Nipponjin ,negative,8
729,Dance with Me,negative,6
730,Dancer in the Dark,negative,7
731,Dances With Wolves,negative,9
732,Dangerous Minds,negative,3
733,Dante's Peak,negative,3
734,Dark Crimes,negative,1
735,The Dark Half,negative,6
736,Dark Horse,negative,8
737,Dark Matter,negative,5
