,movie_title,sentiment,tomatometer_rating
0,Percy Jackson & the Olympians: The Lightning Thief,positive,5
1,Please Give,positive,9
2,10,positive,7
3,12 Angry Men ,positive,10
4,"20,000 Leagues Under The Sea",positive,9
5,"10,000 B.C.",positive,1
6,The 39 Steps,positive,10
7,Adam's Rib,positive,10
8,The Bridge of San Luis Rey,positive,1
9,Criminal,positive,7
10,Deep Blue,positive,7
11,The Adventures of Robin Hood,positive,10
12,Tristan & Isolde,positive,4
13,The Matador,positive,8
14,The Intruder ,positive,9
15,Saint Ralph,positive,7
16,The Baxter,positive,4
17,Oliver Twist,positive,7
18,The Alamo,positive,6
19,G,positive,3
20,Alfie,positive,10
21,Aliens,positive,10
22,All About Eve,positive,10
23,All of Me,positive,9
24,Street Fight,positive,10
25,The Motel,positive,9
26,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,positive,9
27,Requiem,positive,9
28,Amazing Grace,positive,7
29,The Situation,positive,4
30,Delirious,positive,9
31,Interview,positive,6
32,Molière,positive,7
33,Alexandra,positive,9
34,The Cool School,positive,10
35,Disney's A Christmas Carol,positive,6
36,Deep Water,positive,10
37,Beverly Hills Chihuahua,positive,5
38,My Best Friend's Girl,positive,2
39,The Midnight Meat Train,positive,8
40,The Lucky Ones,positive,4
41,Run Fatboy Run,positive,5
42,Whiteout,positive,1
43,King Corn,positive,10
44,L' Avocat de la Terreur ,positive,9
45,Darfur Now,positive,8
46,Mr. Untouchable,positive,8
47,Flawless,positive,6
48,What Happens in Vegas,positive,3
49,Appaloosa,positive,8
50,Good,positive,4
51,The Visitor,positive,9
52,Married Life,positive,6
53,Untraceable,positive,2
54,The Freshman,positive,10
55,Kenny,positive,10
56,The Perfect Holiday,positive,2
57,La Graine et le Mulet  ,positive,10
58,Land of the Lost,positive,3
59,[Rec],positive,9
60,Look,positive,7
61,The Box,positive,5
62,21,positive,4
63,The Duchess of Langeais ,positive,8
64,Ben X,positive,7
65,The Grand,positive,5
66,The Hammer,positive,9
67,Priest,positive,2
68,The Broken,positive,5
69,Sugar,positive,10
70,Quid Pro Quo,positive,7
71,The Road,positive,8
72,G-Force,positive,3
73,The Other Man,positive,2
74,The Duchess,positive,7
75,The Women,positive,2
76,Public Enemies,positive,7
77,The Promotion,positive,6
78,Notorious,positive,6
79,Sin Nombre,positive,9
80,Un Conte de Noël ,positive,9
81,"1,000 Times Good Night",positive,8
82,The Unborn,positive,2
83,Chocolate,positive,8
84,Splinter,positive,8
85,Leaves of Grass,positive,7
86,Gigantic,positive,4
87,My Sister's Keeper,positive,5
88,The Hangover,positive,8
89,The Stepfather,positive,2
90,Boogie ,positive,10
91,Prima Ballerina,positive,9
92,Shuttle,positive,6
93,Miss March,positive,1
94,Happy Tears,positive,3
95,The Messenger,positive,10
96,Venkovský Ucitel ,positive,9
97,The Apartment,positive,10
98,Fame,positive,3
99,Outrage,positive,8
100,Skin,positive,9
101,Helen,positive,7
102,Tron Legacy,positive,6
103,Chloe,positive,6
104,The Hole,positive,9
105,High Life,positive,9
106,Around the World in 80 Days,positive,7
107,Wonderful World,positive,5
108,Babies,positive,7
109,Going the Distance,positive,6
110,Life as We Know It,positive,3
111,Frozen,positive,7
112,Prodigal Sons,positive,9
113,The Ghost Writer,positive,9
114,Repo Men,positive,3
115,Daddy Longlegs,positive,8
116,Winter's Bone,positive,10
117,The Kids Are All Right,positive,10
118,Stolen,positive,1
119,Stonewall Uprising,positive,9
120,Arthur,positive,9
121,Assault on Precinct 13,positive,10
122,Bang The Drum Slowly,positive,10
123,Beauty and The Beast ,positive,10
124,The Birds,positive,10
125,Black Rain,positive,6
126,Black Sunday,positive,7
127,Blind Date,positive,3
128,Born Yesterday,positive,10
129,The Bounty,positive,8
130,The Boys from Brazil,positive,7
131,Brewster's Millions,positive,4
132,Brian's Song,positive,10
133,Brief Encounter,positive,10
134,Broken Blossoms,positive,10
135,Butch Cassidy and the Sundance Kid,positive,10
136,Carnival of Souls,positive,9
137,Casablanca,positive,10
138,Casino Royale,positive,3
139,Cat on a Hot Tin Roof,positive,10
140,Cat People,positive,10
141,Charade,positive,10
142,Charlotte's Web,positive,8
143,Children of the Corn,positive,4
144,Cimarron,positive,6
145,Cleopatra,positive,7
146,Colors,positive,9
147,Dangerous Liaisons,positive,10
148,The Day the Earth Stood Still,positive,10
149,Doctor Zhivago,positive,9
150,Dr. Jekyll and Mr. Hyde,positive,10
151,How the Grinch Stole Christmas,positive,10
152,Dragnet,positive,6
153,Dressed to Kill,positive,9
154,Duel,positive,9
155,Dune,positive,6
156,The Elephant Man,positive,10
157,The Enforcer,positive,7
158,Escape from New York,positive,9
159,Fahrenheit 451,positive,9
160,Father of the Bride,positive,10
161,The Fly,positive,10
162,The Fly,positive,10
163,Footloose,positive,6
164,Freaky Friday,positive,8
165,Fright Night,positive,10
166,From Here to Eternity,positive,10
167,Frosty the Snowman,positive,8
168,The General,positive,10
169,The Getaway,positive,9
170,Glory,positive,10
171,The Great Gatsby,positive,4
172,Hairspray,positive,10
173,Hamlet,positive,10
174,Hardcore,positive,8
175,Heaven Can Wait,positive,9
176,The Hidden Fortress ,positive,10
177,The Hills Have Eyes,positive,7
178,100 Streets,positive,5
179,House On Haunted Hill,positive,9
180,Hud,positive,9
181,The Hunchback of Notre Dame,positive,10
182,Imitation of Life,positive,9
183,The Importance of Being Earnest,positive,9
184,Indiscreet,positive,10
185,Intolerance,positive,10
186,Invasion of the Body Snatchers,positive,10
187,Invasion of the Body Snatchers,positive,10
188,The Invisible Man,positive,10
189,The Island of Dr. Moreau,positive,6
190,Jason and the Argonauts,positive,9
191,Jesus Christ Superstar,positive,6
192,Julius Caesar,positive,10
193,King Kong,positive,10
194,King Kong,positive,6
195,The King of Comedy,positive,9
196,King of Kings,positive,9
197,The Lady Vanishes,positive,10
198,Laura,positive,10
199,Legend,positive,4
200,The Lion in Winter,positive,10
201,The Little Drummer Boy,positive,8
202,Lolita,positive,10
203,The Longest Yard,positive,8
204,M,positive,10
205,The Magic Flute ,positive,10
206,The Magnificent Ambersons,positive,9
207,The Magnificent Seven,positive,9
208,The Maltese Falcon,positive,10
209,A Man for All Seasons,positive,9
210,The Manchurian Candidate,positive,10
211,Manhunter,positive,10
212,Mannequin,positive,3
213,Marty,positive,10
214,Metropolis,positive,10
215,Moby Dick,positive,9
216,Moonraker,positive,7
217,The Mummy,positive,9
218,Mutiny on the Bounty,positive,10
219,My Man Godfrey,positive,10
220,A Night at the Opera,positive,10
221,No Way Out,positive,10
222,The Odd Couple,positive,10
223,The Omen,positive,9
224,Peter Pan,positive,9
225,The Pink Panther,positive,9
226,Planet of the Apes,positive,9
227,Point Blank,positive,10
228,Poltergeist,positive,9
229,The Poseidon Adventure,positive,9
230,The Postman Always Rings Twice,positive,9
231,The Producers,positive,10
232,Rear Window,positive,10
233,Red Dawn,positive,5
234,Red Heat,positive,7
235,Return to Oz,positive,6
236,Risky Business,positive,10
237,Robin Hood,positive,6
238,Rudolph the Red-Nosed Reindeer,positive,10
239,Running Scared,positive,6
240,Sabrina,positive,10
241,Scanners,positive,8
242,Scarface,positive,10
243,Shadow of a Doubt,positive,10
244,Short Circuit,positive,6
245,A Shot in the Dark,positive,10
246,Sleeping Beauty,positive,9
247,Spartacus,positive,10
248,Stagecoach,positive,10
249,Stakeout,positive,9
250,A Star Is Born,positive,10
251,A Star is Born,positive,4
252,101 Dalmatians,positive,10
253,The Sting,positive,10
254,The Stranger,positive,10
255,A Streetcar Named Desire,positive,10
256,Swing Time,positive,10
257,The Taming of the Shrew,positive,9
258,The Ten Commandments,positive,9
259,Them!,positive,10
260,Shivers  ,positive,9
261,Thief,positive,10
262,The Thing from Another World,positive,9
263,The Thing,positive,9
264,Top Secret!,positive,8
265,Touch of Evil,positive,10
266,Le Procès ,positive,9
267,The Trip,positive,4
268,Twelve O'Clock High,positive,10
269,Valley Girl,positive,9
270,Weird Science,positive,6
271,White Christmas,positive,8
272,Willard,positive,6
273,Witness,positive,10
274,Wuthering Heights,positive,10
275,Blue Steel,positive,8
276,Henry V,positive,10
277,Alice in Wonderland,positive,9
278,Dick Tracy,positive,7
279,Ghost,positive,8
280,The Jungle Book,positive,9
281,The Long Goodbye,positive,10
282,GoodFellas,positive,10
283,After Hours,positive,9
284,White Fang,positive,7
285,Awakenings,positive,9
286,Diabolique ,positive,10
287,Hot Shots!,positive,9
288,The Commitments,positive,9
289,JFK,positive,9
290,The Man in the Moon,positive,10
291,Father of the Bride,positive,8
292,The Italian Job,positive,9
293,Beethoven,positive,4
294,A Midnight Clear,positive,9
295,Boomerang,positive,5
296,Of Mice and Men,positive,10
297,Singles,positive,8
298,The Last of the Mohicans,positive,10
299,Matinee,positive,10
300,Malcolm X,positive,9
301,Scent of a Woman,positive,9
302,The Vanishing,positive,5
303,Born Yesterday,positive,3
304,Stalker,positive,10
305,The Secret Garden,positive,9
306,Strictly Ballroom,positive,10
307,Much Ado About Nothing,positive,10
308,High Noon,positive,10
309,The Fugitive,positive,10
310,Cool Runnings,positive,8
311,Heaven & Earth,positive,5
312,Snow White and the Seven Dwarfs,positive,10
313,The Kid,positive,10
314,Wyatt Earp,positive,5
315,Wolf,positive,7
316,The Shadow,positive,4
317,Beloved,positive,8
318,Rudyard Kipling's The Jungle Book,positive,9
319,Little Women,positive,10
320,Three Colors: Red ,positive,10
321,Nobody's Fool,positive,10
322,The Quick and the Dead,positive,6
323,The Old Dark House,positive,10
324,Village of the Damned,positive,3
325,A Little Princess,positive,10
326,Mad Love,positive,3
327,Smoke,positive,10
328,Babe,positive,10
329,The Prophecy,positive,5
330,The Scarlet Letter,positive,2
331,Home for the Holidays,positive,7
332,Kicking and Screaming,positive,6
333,Persuasion,positive,9
334,Casino,positive,9
335,Jumanji,positive,6
336,Heat,positive,9
337,The Addiction,positive,8
338,Sabrina,positive,7
339,Sudden Death,positive,6
340,Dead Man Walking,positive,10
341,Restoration,positive,8
342,Othello,positive,7
343,Diabolique,positive,2
344,Primal Fear,positive,8
345,Twister,positive,6
346,Fear,positive,5
347,The Arrival,positive,7
348,Cold Comfort Farm,positive,9
349,The Phantom,positive,5
350,Matilda,positive,10
351,A Time to Kill,positive,7
352,Chain Reaction,positive,2
353,The Fan,positive,4
354,Harriet the Spy,positive,5
355,The Hunchback of Notre Dame,positive,8
356,Emma,positive,9
357,Lone Star,positive,10
358,Scream,positive,8
359,Michael,positive,4
360,In Love and War,positive,2
361,Hamlet,positive,10
362,Private Parts,positive,8
363,Mother,positive,9
364,Iron Monkey,positive,10
365,McHale's Navy,positive,1
366,Get Carter,positive,9
367,Traveller,positive,8
368,Contact,positive,7
369,Shall We Dance? ,positive,10
370,Seven Years in Tibet,positive,7
371,Anastasia,positive,9
372,The Rainmaker,positive,9
373,Fallen,positive,5
374,Great Expectations,positive,4
375,The Borrowers,positive,8
376,Nightwatch,positive,3
377,Les Miserables,positive,8
378,Madeline,positive,7
379,The Parent Trap,positive,9
380,Out of Sight,positive,10
381,The Negotiator,positive,8
382,Blade,positive,6
383,Rounders,positive,7
384,Elizabeth,positive,9
385,Happiness,positive,9
386,At First Sight,positive,4
387,Lolita,positive,7
388,True Crime,positive,6
389,Psycho,positive,4
390,The Siege,positive,5
391,The Impostors,positive,7
392,Virus,positive,2
393,Life,positive,6
394,Go,positive,10
395,The Mummy,positive,7
396,The Winslow Boy,positive,10
397,Bent,positive,8
398,Underground,positive,9
399,The Thirteenth Floor,positive,4
400,Deep Blue Sea,positive,6
401,Dick,positive,8
402,William Shakespeare's 'A Midsummer Night's Dream',positive,7
403,In Too Deep,positive,4
404,The Best Man,positive,8
405,Double Jeopardy,positive,3
406,The Hurricane,positive,9
407,The End of the Affair,positive,7
408,Mansfield Park,positive,8
409,Tumbleweeds,positive,9
410,Last Night,positive,9
411,Boiler Room,positive,7
412,What Planet Are You From?,positive,5
413,High Fidelity,positive,10
414,Dinosaur,positive,7
415,Road Trip,positive,6
416,Running Free,positive,3
417,Shaft,positive,7
418,The Patriot,positive,7
419,Loser,positive,3
420,Saving Grace,positive,7
421,The Crew,positive,3
422,10 Cloverfield Lane,positive,10
423,10 Things I Hate About You,positive,7
424,10 Years,positive,7
425,10th & Wolf,positive,2
426,The Contender,positive,8
427,Lost Souls,positive,1
428,Bedazzled,positive,6
